artwork_title,artist,first_name,surname,country_of_origin,artist_biography,website_artist,description,price,medium,genre,style,subject,colour,artwork_image,artwork_link,dimensions,year,image_url,currency,tags
Skyborne Fragments,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A surreal floating structure composed of fragmented architectural elements and greenery, set against a vibrant turquoise sky. The composition evokes a sense of whimsy and wonder, reminiscent of Hayao Miyazaki's fantastical worlds. The juxtaposition of natural and man-made elements suggests themes of coexistence and harmony.",Not for sale,3D Digital Art,Digital Art,Surrealism,Floating architectural structure,Turquoise,3D Digital Sculpture_testData1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surreal"",""architecture"",""floating"",""fantasy"",""nature""]"
Bloom of the Deep,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A large, serene face sculpture adorned with vibrant flowers and foliage, floating in a surreal aquatic environment. The composition blends organic and artificial elements, reminiscent of contemporary digital art techniques. The juxtaposition of nature and decay evokes themes of rebirth and transformation.",Not for sale,3D Digital Sculpture,Digital Art,Surrealism,Face sculpture with flowers,Turquoise,3D Digital Sculpture_testData2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surrealism"",""sculpture"",""flowers"",""digital art"",""nature""]"
Tin Memories in Teal,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Three vintage-style robots stand in a row against a soft teal background, each with a distinct retro design and color scheme, evoking a sense of nostalgia reminiscent of mid-20th-century toy aesthetics. The composition is balanced and symmetrical, with a playful yet mechanical charm that echoes elements of pop art.",Not for sale,Digital Art,Digital Art,Retro Futurism,Robots,Teal,50srobots.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""robots"",""vintage"",""retro"",""futurism"",""teal""]"
Harmonic Geometry,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Geometric arrangement of rectangles in varying shades of green, blue, and yellow, creating a harmonious and balanced composition. The use of color blocking and clean lines is reminiscent of Minimalist and Constructivist art movements.",Not for sale,Digital Art,Abstract,Minimalism,Geometric shapes,Green,Abstract1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""geometric"",""minimalism"",""color blocking""]"
Eye of the Storm,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Dynamic splatters and drips of black, blue, and orange paint create a sense of movement and chaos on a textured beige background, reminiscent of Jackson Pollock's action painting. The composition is energetic, with a central dark mass suggesting a focal point amidst the scattered elements.",Not for sale,Acrylic on canvas,Abstract,Abstract Expressionism,Non-representational forms,Beige,Abstract2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""dynamic"",""splatters"",""movement"",""chaos"",""Pollock""]"
Chromatic Detonation,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Explosive bursts of vibrant colors with dynamic splatters and drips create a sense of chaotic movement, reminiscent of Jackson Pollock's action painting. Bold reds, yellows, and blues intermingle with swirling patterns, evoking a sense of energy and spontaneity.",Not for sale,Acrylic Painting,Abstract,Abstract Expressionism,Color and motion,Red,Abstract3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""expressionism"",""colorful"",""dynamic"",""splatters""]"
Weight of Color,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Thick, textured layers of paint create a dynamic composition with bold strokes and vibrant colors. The use of impasto technique is reminiscent of Abstract Expressionism, with a focus on the physicality of the paint. The interplay of dark and bright hues adds depth and movement.",Not for sale,Oil Painting,Abstract,Abstract Expressionism,Color and texture,Yellow,AbstractBrush1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""impasto"",""texture"",""vibrant"",""expressionism"",""dynamic""]"
Through the Shadows,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Textured layers of dark and light tones create a dynamic interplay of geometric forms, reminiscent of Abstract Expressionism. The rough surface and bold contrasts evoke a sense of depth and movement, with hints of ochre breaking through the dominant black and grey palette.",Not for sale,Oil Painting,Abstract,Abstract Expressionism,Geometric forms,Black,AbstractBrush2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""geometric"",""texture"",""expressionism"",""contrast""]"
Orange Breaks the Blue,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Geometric forms emerge from a textured canvas, with bold brushstrokes creating a sense of depth and movement. A striking contrast is established between the cool blue tones and a warm burst of orange, reminiscent of Abstract Expressionism. The composition suggests a dynamic interplay of light and shadow, evoking a sense of mystery and intrigue.",Not for sale,Oil Painting,Abstract,Abstract Expressionism,Geometric forms,Blue,AbstractBrush3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""geometric"",""contrast"",""texture"",""expressionism"",""abstract""]"
Gravity of a Sphere,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A textured composition featuring a large, weathered sphere against a dark, abstract background. The use of mixed media creates a tactile surface, with a horizontal line intersecting the sphere, adding a sense of tension and balance. The piece echoes contemporary abstract expressionism with its emphasis on texture and form.",Not for sale,Mixed Media,Abstract,Abstract Expressionism,Geometric forms,Black,AbstractBrush4.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""texture"",""sphere"",""geometric"",""expressionism""]"
